SchoolDepartment,CourseTitle,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Industrial and Systems Engineering,Back to Work Resource Page,dcanavan3@un.org,Website Programming,Soumaya Amrani,Website Programming,27-05-2020,23:38:00
Environmental and Civil Engineering,Park restrooms reopening press release,dcanavan3@un.org,News Writing and Editing,Soumaya Amrani,News and Media Communication,03-06-2020,20:26:00
Industrial and Systems Engineering,Department PowerPoint Template,dcanavan3@un.org,Technical Writing,Soumaya Amrani,Graphic Design,03-06-2020,20:29:00
Environmental and Civil Engineering,Wilkeson Signage,dcanavan3@un.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Soumaya Amrani,"Graphic Design, Technical Documentation",11-06-2020,18:59:00
Industrial and Systems Engineering,Various Website Updates,dcanavan3@un.org,"Website Programming, Graphic Design/Marketing (Posters, Brochures, Reports)",Soumaya Amrani,"Graphic Design, Proofreading and Quality Assurance, Website Programming",16-06-2020,23:28:00
Industrial and Systems Engineering,Business PPE Giveaway Photos,dcanavan3@un.org,Technical Writing,Soumaya Amrani,Video Editing,16-06-2020,23:34:00
Environmental and Civil Engineering,Wilkeson street signage,dcanavan3@un.org,"Graphic Design/Marketing (Brochures, Posters, Reports)",Soumaya Amrani,"Technical Documentation, Graphic Design",19-06-2020,17:38:00
Environmental and Civil Engineering,Carbon River Postcard,dcanavan3@un.org,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy",Soumaya Amrani,"Public Outreach and Engagement, Technical Documentation, Graphic Design",19-06-2020,21:50:00
Environmental and Civil Engineering,Parks June 22 Press Release,dcanavan3@un.org,News Writing and Editing,Soumaya Amrani,News and Media Communication,19-06-2020,23:29:00
Facilities and Maintenance Engineering,COVID-19 Maintenance/Operations Announcement,dcanavan3@un.org,Internal and External Communication,Soumaya Amrani,"Proofreading and Quality Assurance, Internal and External Communication",24-06-2020,15:33:00
Environmental and Civil Engineering,Quarantine 19k Run Announcement,dcanavan3@un.org,Internal and External Communication,Soumaya Amrani,"Writing and Editing, Internal and External Communication",02-07-2020,19:15:00
Environmental and Civil Engineering,Carbon River Cooperative Plan Presentation Review,dcanavan3@un.org,Communication Planning/Strategy,Soumaya Amrani,Proofreading and Quality Assurance,07-07-2020,22:53:00
Industrial and Systems Engineering,CARES Project Report Graphics,dcanavan3@un.org,"Graphic Design/Marketing (Brochures, Posters, Reports)",Soumaya Amrani,Graphic Design,09-07-2020,22:05:00
Environmental and Civil Engineering,Carbon River Plan & Wilkeson Kiosk Press Release,dcanavan3@un.org,News Writing and Editing,Soumaya Amrani,News and Media Communication,10-07-2020,18:54:00
Facilities and Maintenance Engineering,CCB PA Test Our Family Announcement,dcanavan3@un.org,Internal and External Communication,Soumaya Amrani,"Writing and Editing, Internal and External Communication",10-07-2020,22:11:00
Industrial and Systems Engineering,CARES Programs Rebranding,dcanavan3@un.org,"Communication Planning/Strategy, Graphic Design/Marketing (Brochures, Posters, Reports)",Soumaya Amrani,"Graphic Design, Proofreading and Quality Assurance, Website Programming, Social Media Strategy",15-07-2020,18:40:00
Environmental and Civil Engineering,Conservation Futures Board Position Promotion,dcanavan3@un.org,"Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Soumaya Amrani,"Public Outreach and Engagement, Writing and Editing, Proofreading and Quality Assurance, Graphic Design, Social Media Strategy",23-07-2020,20:46:00
Industrial and Systems Engineering,CARES Program Social Campaign,dcanavan3@un.org,"Communication Planning/Strategy, Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports)",Soumaya Amrani,Social Media Strategy,23-07-2020,20:48:00
Governance and Policy Studies,ADA 30th Anniversary Sidewalk Election Center,dcanavan3@un.org,"Social Media Strategy, Technical Writing",Soumaya Amrani,"Video Editing, Social Media Strategy",27-07-2020,17:46:00
Environmental and Civil Engineering,Virtual Preparedness Camp Promotion,dcanavan3@un.org,"Communication Planning/Strategy, Internal and External Communication, Social Media Strategy",Soumaya Amrani,"Proofreading and Quality Assurance, Internal and External Communication, Social Media Strategy",28-07-2020,18:32:00
Environmental and Civil Engineering,N Lake Tapps Press Release,dcanavan3@un.org,News Writing and Editing,Soumaya Amrani,"Writing and Editing, News and Media Communication, Proofreading and Quality Assurance",30-07-2020,15:45:00
Industrial and Systems Engineering,COVID-19 Business Survey Result Release,dcanavan3@un.org,"Communication Planning/Strategy, News Writing and Editing, Website Programming",Soumaya Amrani,"Proofreading and Quality Assurance, News and Media Communication, Website Programming, Writing and Editing, Internal and External Communication",30-07-2020,15:47:00
Facilities and Maintenance Engineering,Update CRC Site,dcanavan3@un.org,Website Programming,Soumaya Amrani,Website Programming,03-08-2020,18:57:00
Industrial and Systems Engineering,CARES Program landing pages,dcanavan3@un.org,"Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports)",Soumaya Amrani,"Website Programming, Graphic Design",07-08-2020,21:16:00
Facilities and Maintenance Engineering,Water Discoloration Announcement,dcanavan3@un.org,Communication Planning/Strategy,Soumaya Amrani,Internal and External Communication,20-08-2020,13:03:00
Facilities and Maintenance Engineering,Website Updates,dcanavan3@un.org,Website Programming,Soumaya Amrani,Website Programming,20-08-2020,17:39:00
Industrial and Systems Engineering,Automobile Presentation Graphics,dcanavan3@un.org,"Graphic Design/Marketing (Brochures, Posters, Reports)",Soumaya Amrani,Graphic Design,20-08-2020,22:16:00
Industrial and Systems Engineering,CARES Ads - Facebook,dcanavan3@un.org,"Communication Planning/Strategy, Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Soumaya Amrani,"Graphic Design, Proofreading and Quality Assurance, Social Media Strategy",21-08-2020,23:10:00
Industrial and Systems Engineering,CARES Ads - Geekwire,dcanavan3@un.org,"Communication Planning/Strategy, Graphic Design/Marketing (Brochures, Posters, Reports)",Soumaya Amrani,"Graphic Design, Writing and Editing",25-08-2020,15:55:00
Facilities and Maintenance Engineering,Our Family - New Custodial Contract Begins,dcanavan3@un.org,Internal and External Communication,Soumaya Amrani,"Writing and Editing, Proofreading and Quality Assurance",01-09-2020,17:13:00
Environmental and Civil Engineering,Frontier Park Outreach / Survey,dcanavan3@un.org,"Communication Planning/Strategy, Data Collection Tools, Graphic Design/Marketing (Brochures, Posters, Reports)",Soumaya Amrani,"Public Outreach and Engagement, Proofreading and Quality Assurance, Graphic Design, Survey Design and Data Analysis",08-09-2020,16:54:00
Environmental and Civil Engineering,Joint Park Association Press Release,dcanavan3@un.org,News Writing and Editing,Soumaya Amrani,"Proofreading and Quality Assurance, News and Media Communication",08-09-2020,17:24:00
Industrial and Systems Engineering,Press Release - EDD CARES Programs Update,dcanavan3@un.org,News Writing and Editing,Soumaya Amrani,"Proofreading and Quality Assurance, Writing and Editing, News and Media Communication",22-09-2020,18:20:00
Industrial and Systems Engineering,EDD CARES Program Page Updates,dcanavan3@un.org,"Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports)",Soumaya Amrani,"Graphic Design, Website Programming",22-09-2020,18:21:00
Environmental and Civil Engineering,Press Release: Emergency Foothills Trail Work,dcanavan3@un.org,News Writing and Editing,Soumaya Amrani,"Writing and Editing, News and Media Communication",22-09-2020,18:23:00
Environmental and Civil Engineering,Press Release - Virtual Talent Show,dcanavan3@un.org,News Writing and Editing,Soumaya Amrani,News and Media Communication,24-09-2020,22:20:00
Environmental and Civil Engineering,Press Release - Haunted Headlights,dcanavan3@un.org,News Writing and Editing,Soumaya Amrani,"Proofreading and Quality Assurance, Writing and Editing, News and Media Communication",01-10-2020,21:07:00
Environmental and Civil Engineering,Press Release - Woof Woof Walk,dcanavan3@un.org,News Writing and Editing,Soumaya Amrani,"News and Media Communication, Writing and Editing, Proofreading and Quality Assurance",07-10-2020,23:24:00
Environmental and Civil Engineering,Press Release - Cross Park,dcanavan3@un.org,"News Writing and Editing, Video Editing and Production",Soumaya Amrani,"Proofreading and Quality Assurance, News and Media Communication, Video Editing and Production",14-10-2020,16:30:00
Facilities and Maintenance Engineering,Our Family - New Parking Management LAZ,dcanavan3@un.org,Internal and External Communication,Soumaya Amrani,"Proofreading and Quality Assurance, Writing and Editing",20-10-2020,18:41:00
Industrial and Systems Engineering,Website Updates - CARES Programs & Info,dcanavan3@un.org,Website Programming,Soumaya Amrani,"Website Programming, Writing and Editing",20-10-2020,19:58:00
Environmental and Civil Engineering,Press Release - Meet Me in the Park,dcanavan3@un.org,News Writing and Editing,Soumaya Amrani,News and Media Communication,23-10-2020,17:54:00
Industrial and Systems Engineering,COVID Financial Resources Page Update,dcanavan3@un.org,Website Programming,Soumaya Amrani,Website Programming,23-10-2020,17:56:00
Industrial and Systems Engineering,Joint Press Release - Young Adult Internship Program,dcanavan3@un.org,News Writing and Editing,Soumaya Amrani,"News and Media Communication, Writing and Editing, Proofreading and Quality Assurance",23-10-2020,18:17:00
Industrial and Systems Engineering,CARES program updates - web,dcanavan3@un.org,"Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports)",Soumaya Amrani,Website Programming,02-11-2020,23:05:00
Facilities and Maintenance Engineering,Real properties for sale web update,dcanavan3@un.org,Website Programming,Soumaya Amrani,Website Programming,02-11-2020,23:40:00
Environmental and Civil Engineering,Conservations Futures' Advisory Board Applications - Round 2,dcanavan3@un.org,"Communication Planning/Strategy, Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports)",Soumaya Amrani,"Graphic Design, Social Media Strategy",10-11-2020,14:39:00
Industrial and Systems Engineering,CARES Program Websites,dcanavan3@un.org,Website Programming,Soumaya Amrani,Website Programming,23-11-2020,16:34:00
Environmental and Civil Engineering,Elf Exploration Our Family Announcement,dcanavan3@un.org,Internal and External Communication,Soumaya Amrani,"Writing and Editing, Proofreading and Quality Assurance, Internal and External Communication",24-11-2020,17:10:00
Industrial and Systems Engineering,CARES program closures / changes,dcanavan3@un.org,Website Programming,Soumaya Amrani,Website Programming,05-12-2020,00:54:00
Environmental and Civil Engineering,Orangegate Park Survey Press Release & Social Campaign,dcanavan3@un.org,"Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy, News Writing and Editing",Soumaya Amrani,"Writing and Editing, Social Media Strategy, Graphic Design",15-12-2020,17:44:00
Facilities and Maintenance Engineering,12/16 Fire Alarm Test Announcement,dcanavan3@un.org,Internal and External Communication,Soumaya Amrani,"Writing and Editing, Proofreading and Quality Assurance",15-12-2020,23:09:00
Environmental and Civil Engineering,Press Release - No Sun Fun Run,dcanavan3@un.org,News Writing and Editing,Soumaya Amrani,"Proofreading and Quality Assurance, Writing and Editing, News and Media Communication",22-12-2020,23:35:00
Environmental and Civil Engineering,One Pager - Sprinker Outdoor Updates,dcanavan3@un.org,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy",Soumaya Amrani,"Public Outreach and Engagement, Proofreading and Quality Assurance, Graphic Design, Technical Documentation",04-01-2021,15:45:00
Environmental and Civil Engineering,Grant Notification,dcanavan3@un.org,Communication Planning/Strategy,Soumaya Amrani,"Proofreading and Quality Assurance, Public Outreach and Engagement, Writing and Editing",05-01-2021,00:42:00
Facilities and Maintenance Engineering,Website Updates - Removing Ed Casey,dcanavan3@un.org,Website Programming,Soumaya Amrani,Website Programming,05-01-2021,22:38:00
Industrial and Systems Engineering,Newsletter - PPP 2nd Round & WA Phase Roadmap,dcanavan3@un.org,Communication Planning/Strategy,Soumaya Amrani,"Proofreading and Quality Assurance, Writing and Editing",08-01-2021,23:59:00
Facilities and Maintenance Engineering,Our Family - CCB PA Test,dcanavan3@un.org,Internal and External Communication,Soumaya Amrani,Writing and Editing,13-01-2021,14:09:00
Facilities and Maintenance Engineering,Our Family - parking lot closures week of 1/19,dcanavan3@un.org,Internal and External Communication,Soumaya Amrani,"Writing and Editing, Internal and External Communication",18-01-2021,16:19:00
Environmental and Civil Engineering,CivicSend - Grant Notification,dcanavan3@un.org,Communication Planning/Strategy,Soumaya Amrani,"Writing and Editing, Proofreading and Quality Assurance, Graphic Design",09-02-2021,20:52:00
Governance and Policy Studies,Committees,fbucknell4@clickbank.net,Issue and Risk Management,Hajar El Amrani,Writing and Editing,12-12-2017,19:27:00
Governance and Policy Studies,7 Things to do in District 7,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Social Media Strategy, Video Editing and Production, Website Programming, Writing and Editing",12-12-2017,19:33:00
Governance and Policy Studies,District 6 Christmas Card,fbucknell4@clickbank.net,"Printed Material (Posters, Brochures, Reports)",Hajar El Amrani,"Writing and Editing, Technical Documentation, Graphic Design",12-12-2017,19:39:00
Governance and Policy Studies,Committee Selection Graphic,fbucknell4@clickbank.net,Issue and Risk Management,Hajar El Amrani,Graphic Design,03-01-2018,17:27:00
Governance and Policy Studies,Council Communications 2017 Infographic,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Writing and Editing, Graphic Design",03-01-2018,21:36:00
Governance and Policy Studies,Outdoor Sports and Recreation Council Webpage Update,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,04-01-2018,22:29:00
Engineering Leadership and Strategy,Executive Statement,fbucknell4@clickbank.net,News Writing and Editing,Hajar El Amrani,"Public Relations, Writing and Editing",22-01-2018,18:43:00
Engineering Leadership and Strategy,Statement on Sheriff Staffing from Council and Executive,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Public Relations, Writing and Editing",22-01-2018,18:48:00
Engineering Leadership and Strategy,Q13 Sheriff Staffing information,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Public Relations, Writing and Editing",22-01-2018,18:51:00
Governance and Policy Studies,Update Council Committees and External Boards and Commissions,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,22-01-2018,18:53:00
Governance and Policy Studies,Brookedale Golf Course,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,22-01-2018,18:56:00
Governance and Policy Studies,Pam Roach Commercial Information,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,22-01-2018,22:56:00
Governance and Policy Studies,Navigating Your Government- Nuisance Properties,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Proofreading and Quality Assurance, Graphic Design, Website Programming",23-01-2018,17:19:00
Governance and Policy Studies,Navigating Your Government,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Proofreading and Quality Assurance, Graphic Design, Website Programming",23-01-2018,17:23:00
Governance and Policy Studies,Navigating Your Government- Court System,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Website Programming",23-01-2018,19:24:00
Governance and Policy Studies,Navigating Your Government-Adopt a Highway Program,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Website Programming",23-01-2018,19:26:00
Governance and Policy Studies,Assistance with posting video,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,25-01-2018,19:14:00
Governance and Policy Studies,Council Retreat Planning,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Proofreading and Quality Assurance, Graphic Design, Technical Documentation, Writing and Editing",06-02-2018,19:32:00
Governance and Policy Studies,Council Infographic of 2018 Priorities,fbucknell4@clickbank.net,"Printed Material (Posters, Brochures, Reports)",Hajar El Amrani,Graphic Design,13-02-2018,22:40:00
Governance and Policy Studies,Drug Injection Sites,fbucknell4@clickbank.net,News Writing and Editing,Hajar El Amrani,"News and Media Communication, Writing and Editing",23-02-2018,17:36:00
Governance and Policy Studies,Affordable Housing Piece,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Proofreading and Quality Assurance,23-02-2018,17:38:00
Governance and Policy Studies,Proclamation Photo,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Video Editing,13-03-2018,17:56:00
Governance and Policy Studies,Council Priorities Report Template,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Graphic Design,13-03-2018,17:59:00
Governance and Policy Studies,Assisting with placing an image,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,13-03-2018,18:29:00
Governance and Policy Studies,Post Economic Forecast of Recreation to OSRC webpage,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,26-03-2018,19:42:00
Governance and Policy Studies,Record Question,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,29-03-2018,17:33:00
Governance and Policy Studies,Chief of Staff Job Description,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Writing and Editing,04-06-2018,18:58:00
Governance and Policy Studies,Social Media and Web page for Chief of Staff,fbucknell4@clickbank.net,Social Media Strategy,Hajar El Amrani,"Social Media Strategy, Website Programming",04-06-2018,19:01:00
Governance and Policy Studies,The Business Nextdoor,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,"Writing and Editing, Website Programming, Video Editing and Production, Social Media Strategy, Event Coordination",04-06-2018,19:06:00
Governance and Policy Studies,Rick Talbert Video Series,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,"Writing and Editing, Website Programming, Event Coordination, Social Media Strategy, Video Editing and Production",04-06-2018,19:09:00
Governance and Policy Studies,Rick Talbert Video Series,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,"Writing and Editing, Website Programming, Event Coordination, Social Media Strategy, Video Editing and Production",04-06-2018,19:10:00
Governance and Policy Studies,e-newsletter,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Website Programming, Writing and Editing",28-01-2019,17:28:00
Governance and Policy Studies,Performance Audit Report,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance",28-01-2019,17:31:00
Governance and Policy Studies,Western State Hospital Task Force,fbucknell4@clickbank.net,News Writing and Editing,Hajar El Amrani,"Writing and Editing, News and Media Communication, Public Relations",28-01-2019,17:33:00
Governance and Policy Studies,Opioid Summit quote,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,Video Editing and Production,28-01-2019,17:35:00
Governance and Policy Studies,Opioid Website redesign,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Website Programming, Proofreading and Quality Assurance, Graphic Design",28-01-2019,17:37:00
Governance and Policy Studies,Opioid Summit Media Outreach,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,28-01-2019,17:38:00
Technical Communication and Media,Weekly Clips,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,28-01-2019,17:40:00
Governance and Policy Studies,Chambers Bay Resort Op-Ed,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Proofreading and Quality Assurance, Public Relations",28-01-2019,17:41:00
Governance and Policy Studies,Voice over for ferries,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,"Proofreading and Quality Assurance, Video Editing and Production",28-01-2019,18:08:00
Urban Planning and Public Infrastructure,Culvert Restoration Folio,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation, Writing and Editing",28-01-2019,18:11:00
Engineering Leadership and Strategy,Legislative Handout,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing",28-01-2019,18:13:00
Humanitarian Engineering and Outreach,Volunteer Appreciation,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Public Outreach and Engagement, Graphic Design, Video Editing and Production, Website Programming, Writing and Editing, Social Media Strategy",28-01-2019,18:17:00
Technical Communication and Media,Communications On-Call contract,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Writing and Editing,28-01-2019,18:19:00
Governance and Policy Studies,Arena on-line survey,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Website Programming",28-01-2019,18:21:00
Governance and Policy Studies,Postcard for handing out on Arena,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing",28-01-2019,18:23:00
Governance and Policy Studies,BRT e-newsletter,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Website Programming",28-01-2019,18:25:00
Governance and Policy Studies,Behind the Scenes Ferry,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Video Editing and Production, Website Programming, Writing and Editing",28-01-2019,18:28:00
Governance and Policy Studies,Council webpage re-design,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Website Programming, Writing and Editing",28-01-2019,18:30:00
Governance and Policy Studies,County Recreational Assets or TBD,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Social Media Strategy, Video Editing and Production, Website Programming, Writing and Editing",20-02-2019,23:21:00
Governance and Policy Studies,Incorporation Interview,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,20-02-2019,23:23:00
Engineering Leadership and Strategy,Strategic Alliance,fbucknell4@clickbank.net,Strategic Planning and Project Management,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation, Writing and Editing",20-02-2019,23:27:00
Governance and Policy Studies,Chambers Bay Resort,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Writing and Editing,20-02-2019,23:29:00
Governance and Policy Studies,Welcome Basket,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Event Coordination,20-02-2019,23:32:00
Governance and Policy Studies,2019 Communications Strategy,fbucknell4@clickbank.net,Strategic Planning and Project Management,Hajar El Amrani,Writing and Editing,20-02-2019,23:33:00
Governance and Policy Studies,2019 Communications Plan,fbucknell4@clickbank.net,Strategic Planning and Project Management,Hajar El Amrani,Writing and Editing,20-02-2019,23:34:00
Governance and Policy Studies,2019 Communications Planning,fbucknell4@clickbank.net,Strategic Planning and Project Management,Hajar El Amrani,Writing and Editing,20-02-2019,23:40:00
Governance and Policy Studies,E-Newsletter on PC Property Taxes,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Graphic Design, Writing and Editing, Public Outreach and Engagement",20-02-2019,23:42:00
Governance and Policy Studies,Opioid Summit Assistance,fbucknell4@clickbank.net,Social Media Strategy,Hajar El Amrani,"Social Media Strategy, Writing and Editing, Video Editing",25-02-2019,22:34:00
Governance and Policy Studies,Dave Morell Videos,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,"Public Outreach and Engagement, Proofreading and Quality Assurance, Graphic Design, Website Programming, Writing and Editing, Video Editing and Production, Social Media Strategy",19-03-2019,16:20:00
Governance and Policy Studies,E- Newsletter,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Website Programming",19-03-2019,16:22:00
Governance and Policy Studies,Post Opioid Summit,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,"Video Editing and Production, Website Programming",19-03-2019,16:24:00
Governance and Policy Studies,What County Government Does,fbucknell4@clickbank.net,Video Editing and Production,Hajar El Amrani,"Video Editing and Production, Writing and Editing, Proofreading and Quality Assurance",19-03-2019,16:37:00
Governance and Policy Studies,Chambers Bay Take Away,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Proofreading and Quality Assurance, Writing and Editing, Technical Documentation",19-03-2019,16:39:00
Governance and Policy Studies,Strategic Alliance Communications Plan,fbucknell4@clickbank.net,Strategic Planning and Project Management,Hajar El Amrani,"Public Outreach and Engagement, Proofreading and Quality Assurance, Writing and Editing, Website Programming",19-03-2019,16:41:00
Urban Planning and Public Infrastructure,Boundary Review Board Meeting,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Writing and Editing, Social Media Strategy",19-03-2019,16:43:00
Governance and Policy Studies,The Future of Our Children Blog Post,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Proofreading and Quality Assurance, Website Programming",19-03-2019,16:54:00
Governance and Policy Studies,Incorporation information to The Patch,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,19-03-2019,17:55:00
Governance and Policy Studies,Pierce County Seal Design,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,Graphic Design,25-04-2019,17:51:00
Governance and Policy Studies,Council Power Point Template,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,Graphic Design,25-04-2019,17:53:00
Governance and Policy Studies,Councilwebpage analytics and printed pages,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Technical Documentation, Website Programming",25-04-2019,17:57:00
Governance and Policy Studies,Strategic Priorities Graphic,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing",25-04-2019,18:02:00
Governance and Policy Studies,Council Priorities Brochure,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Technical Documentation",25-04-2019,18:04:00
Governance and Policy Studies,Chambers Bay Survey,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Website Programming",25-04-2019,18:07:00
Governance and Policy Studies,Chambers Bay Meeting Graphic,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Graphic Design, Website Programming",25-04-2019,18:09:00
Governance and Policy Studies,Chambers Bay Door Hanger/flier,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Technical Documentation",25-04-2019,18:11:00
Governance and Policy Studies,Chambers Bay Resort-Tacoma Weekly Article,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Writing and Editing, Proofreading and Quality Assurance",25-04-2019,18:13:00
Governance and Policy Studies,P-25 Blog Post,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Proofreading and Quality Assurance, Website Programming",25-04-2019,18:16:00
Governance and Policy Studies,Connie Ladenburg Photos,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Video Editing,25-04-2019,18:17:00
Governance and Policy Studies,Chambers Bay Listserve notice,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing",25-04-2019,18:19:00
Governance and Policy Studies,Notice on In-District Meeting,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing",25-04-2019,18:21:00
Governance and Policy Studies,Post about Chambers Bay resort GLA,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing",25-04-2019,18:22:00
Governance and Policy Studies,Public Participation Article,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Proofreading and Quality Assurance, Writing and Editing, Public Relations",25-04-2019,18:23:00
Governance and Policy Studies,Joint Meeting with City of Tacoma,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Social Media Strategy",25-04-2019,18:24:00
Governance and Policy Studies,One tenth,fbucknell4@clickbank.net,Issue and Risk Management,Hajar El Amrani,Writing and Editing,25-04-2019,18:29:00
